"publisher_id","publisher_name"
"0","(不明)"
"1","（人間の記録121）、日本図書センター"
"2","「明星」發行所"
"3","Ama River Publishing"
"4","HAYAKAWA POCKET MYSTERY BOOKS No. 195、早川書房"
"5","KAWADE道の手帖、河出書房新社"
"6","ＰＨＰ文庫、ＰＨＰ研究所"
"7","アイドル・ブックス、ポプラ社"
"8","あかね書房"
"9","アスキー"
"10","アメーバブックス"
"11","アルス"
"12","インパクト出版会"
"13","ウェッジ文庫、ウェッジ"
"14","ウニタ書舗"
"15","エディトリアルデザイン研究所"
"16","オリオン出版社"
"17","オリジン出版センター"
"18","キネマ旬報社"
"19","ぎょうせい"
"20","グルメ文庫、角川春樹事務所"
"21","クレス出版"
"22","コスモス書店"
"23","コマクサ叢書、朋文堂"
"24","さ・え・ら書房"
"25","サイレン社"
"26","サン パウロ"
"27","サンパウロ"
"28","ジャズ批評社"
"29","ジュニア版日本文学名作選、偕成社"
"30","スイッチパブリッシング"
"31","ソフトバンク出版事業部"
"32","ちくま学芸文庫、筑摩書房"
"33","ちくま文庫、筑摩書房"
"34","つり人ノベルズ、つり人社"
"35","てのり文庫、大日本図書"
"36","てんびん社"
"37","ニライ社"
"38","にんぎよ詩社"
"39","ノーベル書房株式会社"
"40","のじぎく文庫、神戸新聞総合出版センター"
"41","パサージュ叢書、メタローグ"
"42","ハヤカワ文庫、早川書房"
"43","ハルキ文庫、角川春樹事務所"
"44","はる書房"
"45","フィルムアート社"
"46","フェニックス出版"
"47","ぺりかん社"
"48","ペンギンカンパニー"
"49","ボイジャー"
"50","ほとゝきす發行所"
"51","ほのほ會"
"52","ポプラ社"
"53","ポプラ社文庫、ポプラ社"
"54","ほるぷ出版"
"55","ボン書店"
"56","みすず書房"
"57","メディアファクトリー"
"58","ヤマケイ文庫、山と渓谷社"
"59","ヤマケイ文庫、山と溪谷社"
"60","ゆまに書房"
"61","ラジオ・ドラマ新書、宝文館"
"62","リブリオ出版"
"63","ワイド版岩波文庫、岩波書店"
"64","一家言叢書、全國書房"
"65","茨城県"
"66","茨城県稲敷郡阿見町教育委員会"
"67","印刷局"
"68","英宝社"
"69","衛生新報社"
"70","旺文社文庫、旺文社"
"71","横須賀美術館、一宮市三岸節子記念美術館"
"72","横浜市"
"73","沖積舎"
"74","音楽文庫、音楽之友社"
"75","家の光協会"
"76","河出書房"
"77","河出書房新社"
"78","河出文庫、河出書房新社"
"79","河北新報社"
"80","我等発行所"
"81","解放社"
"82","改造社"
"83","改造文庫、改造社出版"
"84","海越出版社"
"85","海鳥社"
"86","海野十三の会"
"87","角川ソフィア文庫、角川書店"
"88","角川ホラー文庫、角川書店"
"89","角川書店"
"90","角川文庫、角川学芸出版"
"91","角川文庫、角川書店"
"92","角川文庫クラシックス、角川書店"
"93","学芸書林"
"94","学研Ｍ文庫、学習研究社"
"95","学習の友社発行"
"96","学習研究社"
"97","葛飾俳話会"
"98","葛飾俳話會"
"99","株式会社三一書房"
"100","鎌倉文庫"
"101","乾元社"
"102","刊行社"
"103","漢文叢書、有朋堂書店"
"104","関根書店、日米教育関係学会"
"105","岩谷書店"
"106","岩波現代文庫、岩波書店"
"107","岩波書店"
"108","岩波書店 岩波文庫"
"109","岩波書店、岩波文庫"
"110","岩波少年文庫、岩波書店"
"111","岩波新書、岩波書店"
"112","岩波新書（青版）、岩波書店"
"113","岩波版ほるぷ図書館文庫、岩波書店"
"114","岩波文庫"
"115","岩波文庫 、岩波書店"
"116","岩波文庫、岩波書店"
"117","岩波文庫、岩波書房"
"118","季節社"
"119","紀伊国屋出版部"
"120","輝文堂書房"
"121","吉川英治文庫、講談社"
"122","吉川英治歴史時代文庫 補5、講談社"
"123","吉川英治歴史時代文庫、講談社"
"124","吉川英治歴史時代文庫16、講談社"
"125","吉川英治歴史時代文庫18、講談社"
"126","吉川英治歴史時代文庫2、講談社"
"127","吉川英治歴史時代文庫20、講談社"
"128","吉川英治歴史時代文庫3、講談社"
"129","吉川英治歴史時代文庫4、講談社"
"130","宮地佐一郎、光風社出版"
"131","求龍堂"
"132","京屋出版社"
"133","京阪書林"
"134","教育出版センター"
"135","教育新潮社"
"136","教育美術振興会"
"137","教化團體聯合会"
"138","教養文庫、社会思想社"
"139","興文社、文芸春秋社"
"140","興文社、文藝春秋社"
"141","興文社内桂月全集刊行会"
"142","興文社内桂月全集刊行會"
"143","興亞日本社"
"144","郷土出版社"
"145","暁書房"
"146","桐書房"
"147","近畿日本叢書、近畿日本鉄道"
"148","近代文芸・資料複刻叢書、世界文庫"
"149","近代文芸資料複刻叢書、世界文庫"
"150","近代文芸社"
"151","近代文藝社"
"152","金港堂"
"153","金尾文淵堂"
"154","銀河書房"
"155","銀貨社"
"156","九段書房"
"157","熊本出版文化会館"
"158","栗田書店"
"159","慶應義塾大学出版会"
"160","警醒社"
"161","警醒社書店"
"162","月曜社"
"163","研究社"
"164","研文社"
"165","原書房"
"166","幻影城"
"167","幻戯書房"
"168","玄文社詩歌部"
"169","現代ユウモア全集刊行會"
"170","現代企画室"
"171","現代教養文庫、社会思想社"
"172","現代思潮社"
"173","現代詩文庫、思潮社"
"174","現代社"
"175","五月書房"
"176","御花"
"177","交響社"
"178","光風社出版"
"179","光文社"
"180","光文社時代小説文庫、光文社"
"181","光文社文庫、光文社"
"182","厚生閣"
"183","弘文堂"
"184","恒文社"
"185","構想社"
"186","江戸川乱歩推理文庫、講談社"
"187","江戸川乱歩文庫、春陽堂書店"
"188","港の人"
"189","講談社"
"190","講談社 講談社文芸文庫"
"191","講談社火の鳥伝記文庫、講談社"
"192","講談社学術文庫、講談社"
"193","講談社大衆文学館文庫、講談社"
"194","講談社文芸文庫、講談社"
"195","講談社文庫、講談社"
"196","高松市菊池寛記念館"
"197","高松市菊池寛記念館、文藝春秋"
"198","高松市菊池寛記念館刊行、文藝春秋社発売"
"199","国枝史郎伝奇文庫、講談社"
"200","国枝史郎伝奇文庫（七）、講談社"
"201","国枝史郎伝奇文庫（十五）、講談社"
"202","国枝史郎伝奇文庫（二十六）、講談社"
"203","国枝史郎伝奇文庫17、講談社"
"204","国枝史郎伝奇文庫22、講談社"
"205","国枝史郎伝奇文庫27、講談社"
"206","国枝史郎伝奇文庫28、講談社"
"207","国書刊行会"
"208","国文社"
"209","国民図書"
"210","黒色戦線社"
"211","今古堂"
"212","座右寶刊行會"
"213","財団法人 日本近代文学館"
"214","阪急電鉄"
"215","作品社"
"216","札幌・北書房"
"217","三一書房"
"218","三修社"
"219","三省堂"
"220","三省堂書店"
"221","三田文学会"
"222","三田文學會"
"223","三島霜川選集刊行会"
"224","山と渓谷社"
"225","山と溪谷社"
